Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2009,03 Uppsala län,Svealand,Unprotected,20,38,48.1,46.3,41.8,78.5,65.3,55.5,33.8,15.9,8.4,6.66,53.3,4.4,8.4,10.7,10.3,9.3,17.4,14.5,12.3,7.5,3.5,1.9,5.4
2009,04 Södermanlands län,Svealand,Unprotected,17.1,18,34.7,30.3,41.6,83.4,55,33.6,12,7.5,4.6,7.72,49.9,5.1,5.3,10.3,9,12.3,24.7,16.3,9.9,3.6,2.2,1.4,7.2
2009,05 Östergötlands län,Svealand,Unprotected,24.2,45.4,68.4,80.2,77.2,128.4,73.5,67.8,33.3,11.8,6.2,7.96,48.3,3.9,7.4,11.1,13,12.5,20.8,11.9,11,5.4,1.9,1,8.3
2009,06 Jönköpings län,Götaland,Unprotected,34.4,66.4,74.9,70.1,68.4,115.1,80.8,84.2,51.5,20.9,16.7,7.15,51.9,5,9.7,11,10.3,10,16.8,11.8,12.3,7.5,3.1,2.4,13
2009,07 Kronobergs län,Götaland,Unprotected,49.7,95.3,72.8,48.6,87.5,90.4,85.2,63.3,38.3,7.6,1.7,6.36,42.9,7.8,14.9,11.4,7.6,13.7,14.1,13.3,9.9,6,1.2,0.3,1.5
2009,08 Kalmar län,Götaland,Unprotected,30,62.1,59.6,85.4,79.8,128.8,112.8,68.9,51.2,19.6,5.2,7.22,50.6,4.3,8.8,8.5,12.1,11.3,18.3,16,9.8,7.3,2.8,0.7,10.8
2009,09 Gotlands län,Götaland,Unprotected,8.3,4.3,9,9.5,10.6,7.3,17.5,11.3,12.6,6.1,19,4.17,72.8,7.2,3.7,7.8,8.2,9.2,6.3,15.2,9.8,10.9,5.3,16.5,16.5
2009,10 Blekinge län,Götaland,Unprotected,4.3,21.5,15.8,19.2,21.3,23.2,29.6,13.3,5.7,1,0.4,8.34,43.9,2.8,13.9,10.2,12.4,13.7,14.9,19.1,8.6,3.7,0.6,0.3,4.6
2009,12 Skåne län,Götaland,Unprotected,20.6,30.2,37.3,31,36.9,83.3,49.5,35.1,22.6,7.7,2,8.24,48.7,5.8,8.5,10.5,8.7,10.4,23.4,13.9,9.9,6.3,2.2,0.6,9.1
2009,13 Hallands län,Götaland,Unprotected,9.8,32.5,18.3,20.5,32.1,61.1,59.5,33.2,12.3,5,1.2,8.3,50.7,3.4,11.4,6.4,7.2,11.2,21.4,20.8,11.6,4.3,1.8,0.4,6.5
2009,14 Västra Götalands län,Götaland,Unprotected,56.3,106.4,138.4,118.3,171.4,243.2,156.9,139.1,84,39.5,20.4,7.66,50.8,4.4,8.4,10.9,9.3,13.5,19.1,12.3,10.9,6.6,3.1,1.6,11.3
2009,17 Värmlands län,Svealand,Unprotected,52,113.4,142,157.8,161.1,309.6,119.6,94.3,67,40.2,41.3,6.7,48.8,4,8.7,10.9,12.2,12.4,23.9,9.2,7.3,5.2,3.1,3.2,6.3
2009,18 Örebro län,Svealand,Unprotected,24.2,63.1,67.1,67.6,77.4,103,70.7,36.2,35,16.2,5.3,6.74,45.6,4.3,11.2,11.9,11.9,13.7,18.2,12.5,6.4,6.2,2.9,0.9,3.8
2009,19 Västmanlands län,Svealand,Unprotected,17.3,30.5,33.1,30.5,37.6,57.3,32.4,24.7,14.8,7.6,2.9,6.42,45.5,6,10.6,11.5,10.6,13,19.8,11.2,8.6,5.1,2.6,1,3.6
